Date,Net_Sales,Day_No,Month_No,Week_Day,Week_No,Week_No_Mon
7/13/2014,4143450,13,7,1,29,3
7/14/2014,3193219,14,7,2,29,3
7/15/2014,3169912,15,7,3,29,3
7/16/2014,3891493,16,7,4,29,3
7/17/2014,3494528,17,7,5,29,3
7/18/2014,4331612,18,7,6,29,3
7/19/2014,4034405,19,7,7,29,3
7/20/2014,3904925,20,7,1,30,4
7/21/2014,3244070,21,7,2,30,4
7/22/2014,3193176,22,7,3,30,4
7/23/2014,3331280,23,7,4,30,4
7/24/2014,3631304,24,7,5,30,4
7/25/2014,4400219,25,7,6,30,4
7/26/2014,3973810,26,7,7,30,4
7/27/2014,6851316,27,7,1,31,5
7/28/2014,4066263,28,7,2,31,5
7/29/2014,3398266,29,7,3,31,5
7/30/2014,3378068,30,7,4,31,5
7/31/2014,4052595,31,7,5,31,5
8/1/2014,4419652,1,8,6,31,1
8/2/2014,4388860,2,8,7,31,1
8/3/2014,4269204,3,8,1,32,2
8/4/2014,3541500,4,8,2,32,2
8/5/2014,3775736,5,8,3,32,2
8/6/2014,4098611,6,8,4,32,2
8/7/2014,4032681,7,8,5,32,2
8/8/2014,5116018,8,8,6,32,2
8/9/2014,4698461,9,8,7,32,2
8/10/2014,4631514,10,8,1,33,3
8/11/2014,4122373,11,8,2,33,3
8/12/2014,3938751,12,8,3,33,3
8/13/2014,4077467,13,8,4,33,3
8/14/2014,4968383,14,8,5,33,3
8/15/2014,4887441,15,8,6,33,3
8/16/2014,4350865,16,8,7,33,3
8/17/2014,4276069,17,8,1,34,4
8/18/2014,4353873,18,8,2,34,4
8/19/2014,4197576,19,8,3,34,4
8/20/2014,4169993,20,8,4,34,4
8/21/2014,3895629,21,8,5,34,4
8/22/2014,4864118,22,8,6,34,4
8/23/2014,4216612,23,8,7,34,4
8/24/2014,4866773,24,8,1,35,5
8/25/2014,4011832,25,8,2,35,5
8/26/2014,3788594,26,8,3,35,5
8/27/2014,4030797,27,8,4,35,5
8/28/2014,4311005,28,8,5,35,5
8/29/2014,3882245,29,8,6,35,5
8/30/2014,3828014,30,8,7,35,5
8/31/2014,4112506,31,8,1,36,6
9/1/2014,3281083,1,9,2,36,1
9/2/2014,3344478,2,9,3,36,1
9/3/2014,3754727,3,9,4,36,1
9/4/2014,3693271,4,9,5,36,1
9/5/2014,4310215,5,9,6,36,1
9/6/2014,4065135,6,9,7,36,1
9/7/2014,3747011,7,9,1,37,2
9/8/2014,3714825,8,9,2,37,2
9/9/2014,3414255,9,9,3,37,2
9/10/2014,3651507,10,9,4,37,2
9/11/2014,3784712,11,9,5,37,2
9/12/2014,3976099,12,9,6,37,2
9/13/2014,3942918,13,9,7,37,2
9/14/2014,3741066,14,9,1,38,3
9/15/2014,3021894,15,9,2,38,3
9/16/2014,3498814,16,9,3,38,3
9/17/2014,1712577,17,9,4,38,3
9/18/2014,1148537,18,9,5,38,3
9/19/2014,1302959,19,9,6,38,3
9/20/2014,1971864,20,9,7,38,3
9/21/2014,1496788,21,9,1,39,4
9/22/2014,1057250,22,9,2,39,4
9/23/2014,1041868,23,9,3,39,4
9/24/2014,2792214,24,9,4,39,4
9/25/2014,3881920,25,9,5,39,4
9/26/2014,4585959,26,9,6,39,4
9/27/2014,4604679,27,9,7,39,4
9/28/2014,3844457,28,9,1,40,5
9/29/2014,3604087,29,9,2,40,5
9/30/2014,4889515,30,9,3,40,5
10/1/2014,4254002,1,10,4,40,1
10/2/2014,3891492,2,10,5,40,1
10/3/2014,2983969,3,10,6,40,1
10/4/2014,3449823,4,10,7,40,1
10/5/2014,4136450,5,10,1,41,2
10/6/2014,4004087,6,10,2,41,2
10/7/2014,3504754,7,10,3,41,2
10/8/2014,4062906,8,10,4,41,2
10/9/2014,4083166,9,10,5,41,2
10/10/2014,5029800,10,10,6,41,2
10/11/2014,4422812,11,10,7,41,2
10/12/2014,4113785,12,10,1,42,3
10/13/2014,3453171,13,10,2,42,3
10/14/2014,3533643,14,10,3,42,3
10/15/2014,3781676,15,10,4,42,3
10/16/2014,3749523,16,10,5,42,3
10/17/2014,4305384,17,10,6,42,3
